transcript	theta_n1	theta_n2	half_life_rep1	half_life_rep2	mean_half_life
ACTB	0.1230	0.1291	5.2805	5.0145	5.1475
ACTG1	0.1409	0.1565	4.5646	4.0727	4.3186
ACTL6A	0.1115	0.1376	5.8638	4.6834	5.2736
ACTN1	0.1479	0.1680	4.3309	3.7675	4.0492
ACTN4	0.1435	0.1666	4.4763	3.8040	4.1401
ACTR1A	0.1888	0.2255	3.3133	2.7121	3.0127
ACTR2	0.0533	0.0837	12.6483	7.9296	10.2890
ACTR3	0.0839	0.0924	7.9079	7.1484	7.5282
ACVR1	0.8449	0.7982	0.3719	0.4331	0.4025
ACVR2B	0.5836	0.5037	0.7913	0.9893	0.8903
ADAM10	0.2192	0.2886	2.8011	2.0355	2.4183
ADAM17	0.3732	0.2841	1.4838	2.0742	1.7790
ADAMTS14	0.6516	0.5553	0.6573	0.8553	0.7563
ADAMTS3	0.6393	0.6118	0.6798	0.7326	0.7062
ADAMTSL4	0.3563	0.3787	1.5736	1.4562	1.5149
ADAR	0.2245	0.2145	2.7262	2.8704	2.7983
ADARB1	0.4554	0.2726	1.1406	2.1776	1.6591
ADAT2	0.5967	0.6605	0.7633	0.6416	0.7025
ADCY3	0.4142	0.3804	1.2960	1.4481	1.3720
ADCY7	0.4396	0.4955	1.1970	1.0130	1.1050
ADD1	0.1361	0.1345	4.7371	4.7997	4.7684
ADD2	0.1132	0.1347	5.7706	4.7919	5.2813
ADD3	0.1901	0.3085	3.2867	1.8793	2.5830
ADGRD1	0.7169	0.7156	0.5493	0.5513	0.5503
ADGRE5	0.5303	0.5499	0.9173	0.8683	0.8928
ADGRL1	0.3049	0.3281	1.9059	1.7431	1.8245
ADGRV1	0.4180	0.4133	1.2805	1.2998	1.2902
ADH5	0.0944	0.0923	6.9873	7.1602	7.0738
ADIPOR1	0.2048	0.1990	3.0250	3.1245	3.0747
ADIPOR2	0.6438	0.6599	0.6715	0.6426	0.6570
ADK	0.3125	0.2241	1.8497	2.7320	2.2909
ADNP	0.8653	0.8504	0.3458	0.3648	0.3553
ADNP2	0.7545	0.8363	0.4935	0.3830	0.4382
ADO	0.8781	0.8622	0.3294	0.3497	0.3395
ADPGK	0.4709	0.6187	1.0887	0.7189	0.9038
ADRM1	0.3364	0.3282	1.6905	1.7425	1.7165
ADSS	0.4514	0.5101	1.1546	0.9714	1.0630
AEBP2	0.7463	0.6455	0.5053	0.6684	0.5869
AEN	0.8004	0.8482	0.4301	0.3677	0.3989
AES	0.0983	0.1248	6.6985	5.1990	5.9488
AFAP1-AS1	0.5189	0.4989	0.9474	1.0031	0.9753
AFDN	0.2131	0.2404	2.8927	2.5206	2.7066
AFF1	0.5834	0.5762	0.7917	0.8074	0.7996
AFF4	0.7407	0.7529	0.5135	0.4958	0.5046
AFG3L1P	0.5969	0.6704	0.7628	0.6246	0.6937
AFG3L2	0.1462	0.1527	4.3847	4.1834	4.2840
AFTPH	0.6597	0.6828	0.6430	0.6036	0.6233
AGAP1	0.4201	0.3630	1.2719	1.5368	1.4043
AGAP3	0.4120	0.4291	1.3054	1.2367	1.2710
AGFG1	0.4514	0.4705	1.1545	1.0903	1.1224
AGGF1	0.3308	0.4086	1.7259	1.3196	1.5228
AGK	0.2287	0.2313	2.6698	2.6351	2.6525
AGL	0.1481	0.0904	4.3238	7.3116	5.8177
AGO1	0.2688	0.2452	2.2137	2.4636	2.3386
AGO2	0.4611	0.4859	1.1211	1.0418	1.0814
AGO3	0.3490	0.4295	1.6150	1.2350	1.4250
AGPAT1	0.1048	0.1209	6.2619	5.3787	5.8203
AGPAT3	0.2327	0.2722	2.6169	2.1811	2.3990
AGPAT4	0.6461	0.7198	0.6672	0.5448	0.6060
AGPAT5	0.3189	0.3622	1.8050	1.5415	1.6732
AGPS	0.1387	0.1578	4.6431	4.0368	4.3400
AGRN	0.2338	0.1916	2.6028	3.2595	2.9311
AHCTF1	0.6268	0.6647	0.7033	0.6344	0.6688
AHCY	0.1645	0.1599	3.8565	3.9792	3.9178
AHCYL1	0.1883	0.1774	3.3217	3.5496	3.4356
AHDC1	0.8473	0.8404	0.3689	0.3777	0.3733
AHI1	0.2524	0.3232	2.3827	1.7756	2.0791
AHNAK	0.2883	0.2572	2.0379	2.3309	2.1844
AHSA1	0.2106	0.1707	2.9317	3.7026	3.3171
AIFM1	0.0612	0.0910	10.9842	7.2686	9.1264
AIG1	0.3300	0.3361	1.7309	1.6923	1.7116
AIMP1	0.2542	0.3221	2.3638	1.7832	2.0735
AIMP2	0.1831	0.2062	3.4269	3.0010	3.2140
AK2	0.1260	0.1160	5.1450	5.6200	5.3825
AK4	0.2935	0.3116	1.9947	1.8561	1.9254
AKAP1	0.5645	0.5554	0.8339	0.8551	0.8445
AKAP10	0.8829	0.7918	0.3231	0.4416	0.3824
AKAP11	0.6412	0.6512	0.6762	0.6580	0.6671
AKAP17A	0.7379	0.6654	0.5176	0.6331	0.5754
AKAP8	0.6586	0.5923	0.6449	0.7724	0.7087
AKAP8L	0.3862	0.4286	1.4200	1.2386	1.3293
AKAP9	0.5030	0.5366	0.9914	0.9012	0.9463
AKIRIN1	0.5708	0.6335	0.8196	0.6905	0.7550
AKIRIN2	0.7272	0.7705	0.5336	0.4710	0.5023
AKT1	0.1114	0.1458	5.8663	4.3982	5.1322
AKT2	0.2021	0.2088	3.0701	2.9593	3.0147
ALAS1	0.5265	0.5439	0.9271	0.8829	0.9050
ALDH1A2	0.0590	0.0631	11.4057	10.6302	11.0180
ALDH1B1	0.3725	0.3197	1.4872	1.7992	1.6432
ALDH9A1	0.1696	0.2483	3.7286	2.4288	3.0787
ALDOA	0.0889	0.1012	7.4440	6.4941	6.9691
ALG3	0.1062	0.0943	6.1729	7.0017	6.5873
ALG8	0.2378	0.2094	2.5527	2.9505	2.7516
ALKBH2	0.5250	0.4981	0.9310	1.0054	0.9682
ALKBH5	0.2810	0.3125	2.1010	1.8498	1.9754
ALKBH8	0.4362	0.5624	1.2096	0.8387	1.0242
ALMS1	0.3344	0.3264	1.7031	1.7545	1.7288
ALS2	0.4332	0.4741	1.2208	1.0786	1.1497
ALYREF	0.1108	0.1112	5.9001	5.8819	5.8910
AMBRA1	0.7756	0.7532	0.4638	0.4953	0.4796
AMD1	0.6732	0.6700	0.6198	0.6252	0.6225
AMER1	0.6014	0.6494	0.7536	0.6614	0.7075
AMFR	0.1305	0.1332	4.9562	4.8495	4.9029
AMMECR1	0.1342	0.1544	4.8091	4.1333	4.4712
AMMECR1L	0.8499	0.8512	0.3655	0.3638	0.3647
AMOTL1	0.5067	0.5286	0.9809	0.9216	0.9513
AMPD2	0.2303	0.3253	2.6484	1.7615	2.2050
AMPD3	0.5220	0.4581	0.9391	1.1312	1.0352
ANAPC1	0.1801	0.1901	3.4903	3.2876	3.3890
ANAPC10	0.4908	0.4652	1.0271	1.1076	1.0673
ANAPC13	0.3414	0.3662	1.6600	1.5199	1.5899
ANAPC5	0.1362	0.1245	4.7354	5.2147	4.9750
ANGEL2	0.5897	0.5480	0.7781	0.8728	0.8255
ANGPT1	0.4731	0.5695	1.0819	0.8225	0.9522
ANK1	0.2924	0.3069	2.0043	1.8911	1.9477
ANKFY1	0.4901	0.4863	1.0292	1.0405	1.0349
ANKIB1	0.6277	0.5460	0.7016	0.8777	0.7897
ANKLE2	0.4884	0.5421	1.0341	0.8874	0.9607
ANKMY2	0.2651	0.2091	2.2504	2.9551	2.6028
ANKRD10	0.4562	0.5472	1.1380	0.8749	1.0065
ANKRD11	0.6199	0.6648	0.7166	0.6341	0.6754
ANKRD12	0.7246	0.6720	0.5375	0.6218	0.5797
ANKRD13C	0.5763	0.5968	0.8072	0.7631	0.7852
ANKRD17	0.4011	0.4438	1.3521	1.1816	1.2668
ANKRD27	0.4780	0.5323	1.0661	0.9121	0.9891
ANKRD28	0.2401	0.3121	2.5240	1.8527	2.1884
ANKRD36	0.5899	0.6303	0.7777	0.6966	0.7372
ANKRD36B	0.6279	0.6907	0.7011	0.5907	0.6459
ANKRD36C	0.5429	0.4771	0.8855	1.0692	0.9773
ANKRD40	0.7619	0.6962	0.4830	0.5817	0.5324
ANKRD50	0.9149	0.9097	0.2813	0.2882	0.2848
ANKRD52	0.4078	0.4055	1.3231	1.3331	1.3281
ANKS1A	0.5141	0.5892	0.9604	0.7792	0.8698
ANKS6	0.2320	0.2333	2.6265	2.6089	2.6177
ANLN	0.6661	0.5987	0.6320	0.7592	0.6956
ANO10	0.2060	0.2346	3.0052	2.5922	2.7987
ANO6	0.5484	0.5564	0.8719	0.8527	0.8623
ANP32A	0.0882	0.1330	7.5029	4.8549	6.1789
ANP32B	0.1088	0.1174	6.0191	5.5489	5.7840
ANP32E	0.0845	0.1071	7.8493	6.1213	6.9853
ANTXR2	0.5112	0.4151	0.9683	1.2925	1.1304
ANXA1	0.0910	0.0924	7.2626	7.1460	7.2043
ANXA11	0.1749	0.1742	3.6058	3.6224	3.6141
ANXA2	0.0956	0.1125	6.9007	5.8057	6.3532
ANXA7	0.1288	0.1300	5.0288	4.9782	5.0035
AP000705.7	0.5522	0.5420	0.8627	0.8877	0.8752
AP1AR	0.5562	0.6992	0.8532	0.5770	0.7151
AP1B1	0.1683	0.1705	3.7609	3.7077	3.7343
AP1G1	0.4846	0.4208	1.0456	1.2694	1.1575
AP1M1	0.1329	0.2824	4.8607	2.0892	3.4749
AP2A1	0.1506	0.1292	4.2468	5.0120	4.6294
AP2A2	0.2398	0.2611	2.5285	2.2911	2.4098
AP2B1	0.1024	0.1104	6.4148	5.9237	6.1692
AP2M1	0.0651	0.0855	10.2999	7.7598	9.0299
AP3B1	0.1843	0.1998	3.4024	3.1103	3.2564
AP3D1	0.1520	0.1842	4.2037	3.4052	3.8045
AP3M1	0.1957	0.2307	3.1826	2.6427	2.9127
AP5M1	0.4091	0.3497	1.3176	1.6107	1.4641
APBA2	0.3032	0.3752	1.9188	1.4740	1.6964
APC	0.6739	0.5310	0.6186	0.9154	0.7670
APEH	0.2175	0.1501	2.8264	4.2609	3.5437
APEX1	0.0992	0.1358	6.6339	4.7510	5.6925
APEX2	0.5037	0.5504	0.9893	0.8671	0.9282
API5	0.2261	0.1960	2.7037	3.1779	2.9408
APIP	0.2013	0.2546	3.0840	2.3587	2.7213
APLP2	0.0934	0.0914	7.0662	7.2309	7.1485
APTX	0.3089	0.3255	1.8757	1.7603	1.8180
AQR	0.2120	0.1992	2.9093	3.1201	3.0147
ARAF	0.2133	0.1950	2.8896	3.1954	3.0425
ARAP1	0.2236	0.3307	2.7382	1.7264	2.2323
ARCN1	0.2221	0.2517	2.7604	2.3907	2.5756
AREL1	0.2838	0.3188	2.0768	1.8054	1.9411
ARF1	0.1428	0.1624	4.4989	3.9121	4.2055
ARF6	0.7883	0.7957	0.4464	0.4364	0.4414
ARFGAP1	0.2997	0.3830	1.9458	1.4354	1.6906
ARFGAP2	0.2791	0.2304	2.1181	2.6469	2.3825
ARFGEF1	0.2571	0.3285	2.3318	1.7408	2.0363
ARFGEF2	0.4164	0.4108	1.2869	1.3105	1.2987
ARFIP2	0.3316	0.2374	1.7205	2.5581	2.1393
ARFRP1	0.3852	0.4236	1.4249	1.2582	1.3416
ARGLU1	0.5413	0.5328	0.8893	0.9108	0.9001
ARHGAP1	0.4229	0.4376	1.2610	1.2042	1.2326
ARHGAP11A	0.5557	0.6084	0.8543	0.7393	0.7968
ARHGAP11B	0.7403	0.7372	0.5140	0.5187	0.5164
ARHGAP12	0.5108	0.5428	0.9695	0.8858	0.9276
ARHGAP17	0.3163	0.3669	1.8232	1.5163	1.6697
ARHGAP18	0.3463	0.2836	1.6308	2.0786	1.8547
ARHGAP21	0.4238	0.4628	1.2572	1.1155	1.1864
ARHGAP22	0.4539	0.4604	1.1458	1.1236	1.1347
ARHGAP24	0.7647	0.7545	0.4790	0.4935	0.4863
ARHGAP35	0.5352	0.5490	0.9048	0.8705	0.8876
ARHGAP5	0.4711	0.4382	1.0881	1.2020	1.1450
ARHGAP6	0.3375	0.3947	1.6837	1.3805	1.5321
ARHGDIA	0.1572	0.1924	4.0538	3.2437	3.6487
ARHGEF1	0.2579	0.2622	2.3237	2.2799	2.3018
ARHGEF11	0.6825	0.7538	0.6041	0.4945	0.5493
ARHGEF12	0.1582	0.1236	4.0236	5.2530	4.6383
ARHGEF2	0.6262	0.5996	0.7043	0.7572	0.7308
ARHGEF7	0.6581	0.6598	0.6459	0.6428	0.6443
ARID1A	0.7923	0.7723	0.4410	0.4684	0.4547
ARID1B	0.3990	0.4513	1.3611	1.1548	1.2580
ARID2	0.5912	0.6246	0.7748	0.7075	0.7411
ARID3A	0.3504	0.3746	1.6070	1.4765	1.5418
ARID3B	0.4447	0.4250	1.1782	1.2524	1.2153
ARID4B	0.7469	0.7292	0.5045	0.5305	0.5175
ARIH1	0.3379	0.3716	1.6808	1.4918	1.5863
ARIH2	0.1794	0.1815	3.5066	3.4606	3.4836
ARL13B	0.7362	0.7662	0.5202	0.4769	0.4986
ARL14EP	0.8528	0.7795	0.3617	0.4585	0.4101
ARL15	0.4286	0.3871	1.2384	1.4160	1.3272
ARL4A	0.9496	0.8941	0.2319	0.3087	0.2703
ARL5B	0.8043	0.8868	0.4250	0.3181	0.3715
ARL8B	0.2346	0.2190	2.5931	2.8047	2.6989
ARMC1	0.5369	0.4562	0.9005	1.1379	1.0192
ARMC6	0.2469	0.2736	2.4440	2.1686	2.3063
ARMC8	0.6617	0.6583	0.6396	0.6455	0.6425
ARNT	0.2201	0.2621	2.7878	2.2809	2.5343
ARPC5L	0.3845	0.4425	1.4283	1.1861	1.3072
ARPP19	0.3784	0.4044	1.4579	1.3375	1.3977
ARRB1	0.2597	0.3341	2.3055	1.7046	2.0050
ARRDC2	0.6521	0.7405	0.6564	0.5138	0.5851
ARRDC3	0.9099	0.8893	0.2880	0.3149	0.3015
ARVCF	0.3317	0.3774	1.7199	1.4626	1.5913
ASAP1	0.5147	0.4680	0.9587	1.0983	1.0285
ASB1	0.5441	0.6116	0.8825	0.7328	0.8077
ASB7	0.8813	0.9065	0.3253	0.2925	0.3089
ASB8	0.5918	0.6422	0.7736	0.6744	0.7240
ASCC1	0.1407	0.1997	4.5698	3.1116	3.8407
ASCC2	0.2195	0.2228	2.7972	2.7502	2.7737
ASCC3	0.1976	0.2498	3.1484	2.4118	2.7801
ASF1A	0.4444	0.5295	1.1794	0.9194	1.0494
ASF1B	0.4454	0.3498	1.1756	1.6105	1.3930
ASH1L	0.6546	0.6931	0.6521	0.5869	0.6195
ASH2L	0.1406	0.1776	4.5746	3.5451	4.0599
ASIC4	0.5462	0.5645	0.8773	0.8339	0.8556
ASNA1	0.2627	0.3788	2.2742	1.4560	1.8651
ASNSD1	0.4869	0.4956	1.0387	1.0128	1.0257
ASPH	0.2604	0.2536	2.2977	2.3697	2.3337
ASPM	0.1968	0.2662	3.1633	2.2399	2.7016
ASXL1	0.6232	0.6558	0.7102	0.6498	0.6800
ASXL2	0.7889	0.8002	0.4456	0.4304	0.4380
ATAD2	0.5545	0.5389	0.8572	0.8953	0.8762
ATAD2B	0.4065	0.4929	1.3287	1.0208	1.1748
ATAD3A	0.1406	0.1496	4.5762	4.2764	4.4263
ATAD3B	0.3200	0.2802	1.7975	2.1079	1.9527
ATAD5	0.6536	0.5788	0.6539	0.8016	0.7277
ATF1	0.5845	0.6833	0.7891	0.6029	0.6960
ATF2	0.6769	0.5609	0.6136	0.8422	0.7279
ATF4	0.4119	0.4022	1.3056	1.3472	1.3264
ATF6	0.2158	0.2670	2.8521	2.2316	2.5418
ATF7IP	0.7120	0.7959	0.5568	0.4362	0.4965
ATF7IP2	0.3776	0.3484	1.4616	1.6182	1.5399
ATG12	0.3083	0.3806	1.8805	1.4470	1.6637
ATG16L1	0.8663	0.8294	0.3444	0.3920	0.3682
ATG2A	0.4343	0.5124	1.2166	0.9650	1.0908
ATG3	0.1247	0.0970	5.2023	6.7924	5.9974
ATG4B	0.4129	0.3211	1.3016	1.7896	1.5456
ATG4D	0.5084	0.5594	0.9761	0.8457	0.9109
ATG5	0.4068	0.3936	1.3273	1.3857	1.3565
ATG7	0.3931	0.4877	1.3879	1.0365	1.2122
ATIC	0.0768	0.0799	8.6753	8.3202	8.4977
ATL2	0.6570	0.6858	0.6478	0.5987	0.6232
ATL3	0.3724	0.4521	1.4881	1.1519	1.3200
ATM	0.2485	0.2707	2.4262	2.1959	2.3111
ATMIN	0.7408	0.7111	0.5134	0.5582	0.5358
ATN1	0.2617	0.2536	2.2849	2.3700	2.3274
ATP11A	0.4989	0.5980	1.0032	0.7606	0.8819
ATP11B	0.1963	0.2637	3.1713	2.2639	2.7176
ATP11C	0.1467	0.1810	4.3701	3.4707	3.9204
ATP13A1	0.2562	0.3096	2.3422	1.8708	2.1065
ATP13A3	0.2924	0.2704	2.0036	2.1985	2.1011
ATP1A1	0.0915	0.1138	7.2193	5.7393	6.4793
ATP1B3	0.0993	0.0965	6.6268	6.8285	6.7276
ATP2A2	0.2148	0.2494	2.8670	2.4161	2.6415
ATP2B1	0.5170	0.4993	0.9524	1.0021	0.9773
ATP2B4	0.2172	0.3580	2.8299	1.5639	2.1969
ATP2C1	0.1906	0.2136	3.2771	2.8847	3.0809
ATP5A1	0.0867	0.0716	7.6470	9.3312	8.4891
ATP5B	0.0598	0.0773	11.2473	8.6129	9.9301
ATP5D	0.0862	0.0840	7.6920	7.9048	7.7984
ATP5E	0.0760	0.0950	8.7673	6.9419	7.8546
ATP5F1	0.0650	0.0775	10.3141	8.5943	9.4542
ATP5G2	0.1206	0.1529	5.3920	4.1773	4.7846
ATP5G3	0.1120	0.0952	5.8333	6.9282	6.3807
ATP5J	0.0946	0.0931	6.9759	7.0910	7.0334
ATP5L	0.0733	0.0756	9.1065	8.8206	8.9635
ATP5SL	0.1769	0.2880	3.5596	2.0403	2.8000
ATP6V0A1	0.2467	0.2255	2.4466	2.7120	2.5793
ATP6V0A2	0.2007	0.2107	3.0950	2.9289	3.0120
ATP6V0D1	0.2859	0.3042	2.0586	1.9108	1.9847
ATP6V0E1	0.5682	0.5237	0.8255	0.9345	0.8800
ATP6V1A	0.0858	0.1123	7.7284	5.8193	6.7738
ATP6V1B2	0.3951	0.3611	1.3791	1.5473	1.4632
ATP6V1C1	0.2103	0.2282	2.9353	2.6765	2.8059
ATP6V1E1	0.2371	0.2482	2.5609	2.4298	2.4953
ATP6V1F	0.0743	0.0949	8.9750	6.9548	7.9649
ATP6V1G1	0.1697	0.1508	3.7277	4.2420	3.9849
ATP6V1H	0.2907	0.4197	2.0184	1.2736	1.6460
ATP7A	0.2100	0.2339	2.9399	2.6017	2.7708
ATP7B	0.2791	0.3705	2.1177	1.4979	1.8078
ATP9B	0.4878	0.4503	1.0360	1.1585	1.0973
ATPIF1	0.0701	0.0780	9.5430	8.5318	9.0374
ATR	0.3402	0.3476	1.6672	1.6227	1.6449
ATRN	0.4021	0.3756	1.3477	1.4719	1.4098
ATRX	0.2745	0.3178	2.1601	1.8122	1.9862
ATXN2	0.4349	0.4053	1.2146	1.3338	1.2742
ATXN2L	0.3311	0.3324	1.7240	1.7152	1.7196
ATXN7	0.7958	0.6739	0.4362	0.6186	0.5274
ATXN7L3	0.5302	0.5385	0.9176	0.8964	0.9070
ATXN7L3B	0.2631	0.2486	2.2705	2.4254	2.3480
AUNIP	0.8265	0.9034	0.3957	0.2965	0.3461
AUP1	0.0640	0.0994	10.4846	6.6202	8.5524
AURKA	0.5464	0.6041	0.8768	0.7480	0.8124
AURKAIP1	0.0792	0.1082	8.4039	6.0551	7.2295
AURKB	0.2324	0.2511	2.6203	2.3968	2.5086
AVL9	0.3597	0.3651	1.5549	1.5257	1.5403
AXIN1	0.6121	0.6494	0.7320	0.6613	0.6966
AZI2	0.1665	0.2491	3.8072	2.4197	3.1135
AZIN1	0.4633	0.4617	1.1138	1.1193	1.1165
B3GALNT2	0.4068	0.5045	1.3273	0.9871	1.1572
B3GNT2	0.8361	0.7808	0.3833	0.4567	0.4200
B3GNT5	0.5461	0.5474	0.8775	0.8743	0.8759
B4GALT1	0.5321	0.5025	0.9127	0.9927	0.9527
B4GALT3	0.3331	0.3368	1.7112	1.6876	1.6994
B4GALT5	0.7691	0.8282	0.4728	0.3935	0.4332
BACH1	0.5388	0.6360	0.8955	0.6859	0.7907
BAG1	0.2360	0.2305	2.5746	2.6453	2.6099
BAG2	0.4919	0.5162	1.0238	0.9547	0.9893
BAG3	0.7388	0.6913	0.5163	0.5898	0.5530
BAG4	0.7008	0.7078	0.5745	0.5633	0.5689
BAG5	0.8289	0.7972	0.3926	0.4344	0.4135
BAG6	0.1105	0.1207	5.9179	5.3880	5.6530
BAGE2	0.2946	0.3459	1.9865	1.6328	1.8097
BAHCC1	0.3203	0.4094	1.7954	1.3162	1.5558
BAHD1	0.7432	0.7887	0.5098	0.4460	0.4779
BAIAP2	0.5655	0.5137	0.8316	0.9616	0.8966
BAIAP2L1	0.3779	0.3827	1.4602	1.4370	1.4486
BAMBI	0.9108	0.9166	0.2868	0.2790	0.2829
BANP	0.4688	0.5264	1.0958	0.9275	1.0116
BAP1	0.1898	0.1970	3.2928	3.1587	3.2258
BAZ1A	0.5071	0.5422	0.9797	0.8871	0.9334
BAZ1B	0.3676	0.3639	1.5124	1.5324	1.5224
BAZ2A	0.3224	0.3736	1.7812	1.4819	1.6315
BAZ2B	0.5744	0.5303	0.8113	0.9172	0.8643
BCAP29	0.2923	0.2668	2.0050	2.2335	2.1193
BCAP31	0.1032	0.0865	6.3631	7.6572	7.0101
BCAR1	0.7575	0.7538	0.4893	0.4946	0.4919
BCAS2	0.2285	0.1732	2.6715	3.6456	3.1585
BCAT1	0.0712	0.0925	9.3781	7.1426	8.2604
BCCIP	0.1398	0.1363	4.6016	4.7287	4.6651
BCL10	0.9090	0.9749	0.2892	0.1882	0.2387
BCL2L1	0.4973	0.4892	1.0079	1.0319	1.0199
BCL2L11	0.7577	0.7480	0.4890	0.5029	0.4959
BCL2L13	0.2186	0.2972	2.8104	1.9651	2.3878
BCL7A	0.7603	0.7441	0.4852	0.5085	0.4969
BCL7B	0.5568	0.6089	0.8519	0.7383	0.7951
BCL9L	0.7607	0.7573	0.4848	0.4895	0.4871
BCLAF1	0.2465	0.2953	2.4489	1.9803	2.2146
BCOR	0.8328	0.8465	0.3875	0.3699	0.3787
BCORL1	0.7526	0.7390	0.4963	0.5161	0.5062
BCR	0.4287	0.4803	1.2381	1.0591	1.1486
BCYRN1	0.3998	0.3790	1.3578	1.4550	1.4064
BDP1	0.4881	0.4726	1.0350	1.0833	1.0592
BEND3	0.7709	0.8035	0.4703	0.4260	0.4482
BET1L	0.5515	0.5453	0.8643	0.8795	0.8719
BEX4	0.2091	0.2978	2.9554	1.9606	2.4580
BFAR	0.7305	0.6617	0.5286	0.6396	0.5841
BHLHE40	0.8504	0.8370	0.3648	0.3821	0.3735
BICD1	0.5805	0.4727	0.7980	1.0832	0.9406
BICD2	0.7966	0.7619	0.4352	0.4831	0.4591
BID	0.2304	0.2433	2.6469	2.4866	2.5667
BIN3	0.6816	0.6868	0.6057	0.5970	0.6014
BIRC2	0.3917	0.4259	1.3942	1.2490	1.3216
BIRC5	0.1988	0.2297	3.1266	2.6558	2.8912
BIRC6	0.2734	0.3654	2.1701	1.5240	1.8470
BLM	0.4618	0.4488	1.1187	1.1636	1.1412
BLMH	0.1221	0.1334	5.3222	4.8408	5.0815
BLVRB	0.1042	0.1389	6.2990	4.6336	5.4663
BLZF1	0.5956	0.5929	0.7656	0.7713	0.7684
BMP2K	0.5682	0.6118	0.8254	0.7326	0.7790
BMS1	0.2724	0.2778	2.1794	2.1296	2.1545
BNIP2	0.8000	0.7905	0.4307	0.4434	0.4371
BNIP3L	0.1051	0.1284	6.2448	5.0425	5.6437
BOD1	0.8111	0.7606	0.4160	0.4849	0.4504
BOD1L1	0.5168	0.5828	0.9531	0.7928	0.8730
BOP1	0.1296	0.1193	4.9949	5.4557	5.2253
BPTF	0.4015	0.4232	1.3503	1.2596	1.3049
BRAF	0.4752	0.4827	1.0752	1.0515	1.0633
BRAP	0.5425	0.5006	0.8864	0.9983	0.9424
BRAT1	0.3582	0.3260	1.5628	1.7569	1.6599
BRCA1	0.1581	0.1803	4.0267	3.4861	3.7564
BRCA2	0.5241	0.6162	0.9335	0.7239	0.8287
BRD1	0.8288	0.7402	0.3927	0.5143	0.4535
BRD2	0.7784	0.7818	0.4600	0.4554	0.4577
BRD3	0.4405	0.3673	1.1937	1.5142	1.3539
BRD4	0.3221	0.3565	1.7829	1.5722	1.6776
BRD7	0.1909	0.2080	3.2712	2.9719	3.1215
BRD8	0.5305	0.4869	0.9168	1.0388	0.9778
