Gene stable ID	Mouse gene stable ID	Mouse homology type
ENSG00000275808	ENSMUSG00000093249	ortholog_many2many
ENSG00000275808	ENSMUSG00000098690	ortholog_many2many
ENSG00000275808	ENSMUSG00000093031	ortholog_many2many
ENSG00000275808	ENSMUSG00000093023	ortholog_many2many
ENSG00000275808	ENSMUSG00000092905	ortholog_many2many
ENSG00000275808	ENSMUSG00000093345	ortholog_many2many
ENSG00000275808	ENSMUSG00000093093	ortholog_many2many
ENSG00000275808	ENSMUSG00000093164	ortholog_many2many
ENSG00000275808	ENSMUSG00000098755	ortholog_many2many
ENSG00000275808	ENSMUSG00000092986	ortholog_many2many
ENSG00000275808	ENSMUSG00000092903	ortholog_many2many
ENSG00000276711		
ENSG00000201070		
ENSG00000199283	ENSMUSG00000064555	ortholog_one2one
ENSG00000207231		
ENSG00000212370		
ENSG00000201579	ENSMUSG00000064446	ortholog_one2one
ENSG00000200601		
ENSG00000251873	ENSMUSG00000088523	ortholog_one2many
ENSG00000251873	ENSMUSG00000088947	ortholog_one2many
ENSG00000274709	ENSMUSG00000098326	ortholog_one2one
ENSG00000242651		
ENSG00000207656		
ENSG00000198995		
ENSG00000201511		
ENSG00000207428		
ENSG00000216058		
ENSG00000273818		
ENSG00000284448		
ENSG00000199832		
ENSG00000275458		
ENSG00000273752		
ENSG00000284067		
ENSG00000200455	ENSMUSG00000089486	ortholog_one2many
ENSG00000200455	ENSMUSG00000064624	ortholog_one2many
ENSG00000221288		
ENSG00000207645		
ENSG00000199047		
ENSG00000274390		
ENSG00000238562		
ENSG00000264233		
ENSG00000266146		
ENSG00000263955		
ENSG00000212624		
ENSG00000278250		
ENSG00000283744		
ENSG00000266439		
ENSG00000263912		
ENSG00000274284	ENSMUSG00000064945	ortholog_one2many
ENSG00000262579		
ENSG00000276222		
ENSG00000201415		
ENSG00000263908		
ENSG00000207041		
ENSG00000266203		
ENSG00000206911		
ENSG00000278124		
ENSG00000199469		
ENSG00000200484		
ENSG00000223284		
ENSG00000199934	ENSMUSG00000065228	ortholog_many2many
ENSG00000199934	ENSMUSG00000064573	ortholog_many2many
ENSG00000201710	ENSMUSG00000087994	ortholog_many2many
ENSG00000201710	ENSMUSG00000084691	ortholog_many2many
ENSG00000201710	ENSMUSG00000084459	ortholog_many2many
ENSG00000243900	ENSMUSG00000098477	ortholog_one2many
ENSG00000276918		
ENSG00000277653	ENSMUSG00000098669	ortholog_one2one
ENSG00000251705	ENSMUSG00000065922	ortholog_one2many
ENSG00000200815		
ENSG00000222922		
ENSG00000272075		
ENSG00000277542	ENSMUSG00000099107	ortholog_one2one
ENSG00000278123	ENSMUSG00000077772	ortholog_one2many
ENSG00000201966	ENSMUSG00000065922	ortholog_one2many
ENSG00000200062		
ENSG00000244512		
ENSG00000203573		
ENSG00000212579		
ENSG00000222210		
ENSG00000274401		
ENSG00000273642		
ENSG00000251859	ENSMUSG00000089218	ortholog_one2many
ENSG00000284317		
ENSG00000199792		
ENSG00000201223		
ENSG00000252426		
ENSG00000207380		
ENSG00000201325	ENSMUSG00000089564	ortholog_one2one
ENSG00000221275		
ENSG00000252468	ENSMUSG00000084632	ortholog_one2many
ENSG00000266780		
ENSG00000275708		
ENSG00000199350	ENSMUSG00000084689	ortholog_one2one
ENSG00000252699	ENSMUSG00000098813	ortholog_one2one
ENSG00000221628		
ENSG00000207513		
ENSG00000207653		
ENSG00000221548		
ENSG00000284361		
ENSG00000207031	ENSMUSG00000064778	ortholog_one2one
ENSG00000207378		
ENSG00000201287		
ENSG00000274655	ENSMUSG00000099312	ortholog_one2one
ENSG00000283172		
ENSG00000202542	ENSMUSG00000087758	ortholog_one2many
ENSG00000265635		
ENSG00000253005	ENSMUSG00000064532	ortholog_one2many
ENSG00000253005	ENSMUSG00000096202	ortholog_one2many
ENSG00000276622		
ENSG00000239041		
ENSG00000265345		
ENSG00000265357		
ENSG00000253065	ENSMUSG00000088225	ortholog_one2many
ENSG00000253065	ENSMUSG00000088651	ortholog_one2many
ENSG00000253065	ENSMUSG00000088244	ortholog_one2many
ENSG00000253065	ENSMUSG00000089174	ortholog_one2many
ENSG00000272036		
ENSG00000207133		
ENSG00000223305		
ENSG00000266666		
ENSG00000264559		
ENSG00000199575		
ENSG00000261867		
ENSG00000212520		
ENSG00000199065		
ENSG00000265331		
ENSG00000277202		
ENSG00000200737	ENSMUSG00000065721	ortholog_one2many
ENSG00000264500		
ENSG00000276640		
ENSG00000241552		
ENSG00000225091	ENSMUSG00000088731	ortholog_many2many
ENSG00000225091	ENSMUSG00000064995	ortholog_many2many
ENSG00000265932		
ENSG00000207607		
ENSG00000243125		
ENSG00000266415		
ENSG00000279049		
ENSG00000207452		
ENSG00000207042		
ENSG00000278278		
ENSG00000278469	ENSMUSG00000092932	ortholog_many2many
ENSG00000278469	ENSMUSG00000092641	ortholog_many2many
ENSG00000278469	ENSMUSG00000092974	ortholog_many2many
ENSG00000278469	ENSMUSG00000093059	ortholog_many2many
ENSG00000278469	ENSMUSG00000093319	ortholog_many2many
ENSG00000278469	ENSMUSG00000093249	ortholog_many2many
ENSG00000278469	ENSMUSG00000098690	ortholog_many2many
ENSG00000278469	ENSMUSG00000093031	ortholog_many2many
ENSG00000278469	ENSMUSG00000093023	ortholog_many2many
ENSG00000278469	ENSMUSG00000092905	ortholog_many2many
ENSG00000278469	ENSMUSG00000093345	ortholog_many2many
ENSG00000278469	ENSMUSG00000093093	ortholog_many2many
ENSG00000278469	ENSMUSG00000093164	ortholog_many2many
ENSG00000278469	ENSMUSG00000098755	ortholog_many2many
ENSG00000278469	ENSMUSG00000092986	ortholog_many2many
ENSG00000278469	ENSMUSG00000092903	ortholog_many2many
ENSG00000266436		
ENSG00000206716		
ENSG00000206925		
ENSG00000264049		
ENSG00000251980	ENSMUSG00000089222	ortholog_one2one
ENSG00000201078		
ENSG00000274860	ENSMUSG00000092932	ortholog_many2many
ENSG00000274860	ENSMUSG00000092641	ortholog_many2many
ENSG00000274860	ENSMUSG00000092974	ortholog_many2many
ENSG00000274860	ENSMUSG00000093059	ortholog_many2many
ENSG00000274860	ENSMUSG00000093319	ortholog_many2many
ENSG00000274860	ENSMUSG00000093249	ortholog_many2many
ENSG00000274860	ENSMUSG00000098690	ortholog_many2many
ENSG00000274860	ENSMUSG00000093031	ortholog_many2many
ENSG00000274860	ENSMUSG00000093023	ortholog_many2many
ENSG00000274860	ENSMUSG00000092905	ortholog_many2many
ENSG00000274860	ENSMUSG00000093345	ortholog_many2many
ENSG00000274860	ENSMUSG00000093093	ortholog_many2many
ENSG00000274860	ENSMUSG00000093164	ortholog_many2many
ENSG00000274860	ENSMUSG00000098755	ortholog_many2many
ENSG00000274860	ENSMUSG00000092986	ortholog_many2many
ENSG00000274860	ENSMUSG00000092903	ortholog_many2many
ENSG00000207287		
ENSG00000202339		
ENSG00000207811		
ENSG00000207759		
ENSG00000201770		
ENSG00000252988		
ENSG00000264419		
ENSG00000212316	ENSMUSG00000089306	ortholog_one2many
ENSG00000212316	ENSMUSG00000065732	ortholog_one2many
ENSG00000266263		
ENSG00000200799		
ENSG00000277605	ENSMUSG00000092932	ortholog_many2many
ENSG00000277605	ENSMUSG00000092641	ortholog_many2many
ENSG00000277605	ENSMUSG00000092974	ortholog_many2many
ENSG00000277605	ENSMUSG00000093059	ortholog_many2many
ENSG00000277605	ENSMUSG00000093319	ortholog_many2many
ENSG00000277605	ENSMUSG00000093249	ortholog_many2many
ENSG00000277605	ENSMUSG00000098690	ortholog_many2many
ENSG00000277605	ENSMUSG00000093031	ortholog_many2many
ENSG00000277605	ENSMUSG00000093023	ortholog_many2many
ENSG00000277605	ENSMUSG00000092905	ortholog_many2many
ENSG00000277605	ENSMUSG00000093345	ortholog_many2many
ENSG00000277605	ENSMUSG00000093093	ortholog_many2many
ENSG00000277605	ENSMUSG00000093164	ortholog_many2many
ENSG00000277605	ENSMUSG00000098755	ortholog_many2many
ENSG00000277605	ENSMUSG00000092986	ortholog_many2many
ENSG00000277605	ENSMUSG00000092903	ortholog_many2many
ENSG00000273875		
ENSG00000239128		
ENSG00000200225	ENSMUSG00000093240	ortholog_one2many
ENSG00000201201		
ENSG00000222356	ENSMUSG00000064526	ortholog_one2many
ENSG00000200942		
ENSG00000278264		
ENSG00000200257	ENSMUSG00000065919	ortholog_one2many
ENSG00000200257	ENSMUSG00000094137	ortholog_one2many
ENSG00000201377		
ENSG00000277887	ENSMUSG00000080540	ortholog_one2one
ENSG00000276220		
ENSG00000284542		
ENSG00000281557		
ENSG00000283416		
ENSG00000251814		
ENSG00000265855		
ENSG00000244404		
ENSG00000207961		
ENSG00000266611		
ENSG00000266188		
ENSG00000200726		
ENSG00000278073		
ENSG00000202385		
ENSG00000201288		
ENSG00000207198	ENSMUSG00000095068	ortholog_one2one
ENSG00000207460		
ENSG00000274535		
ENSG00000199824	ENSMUSG00000094976	ortholog_many2many
ENSG00000199824	ENSMUSG00000096247	ortholog_many2many
ENSG00000200468		
ENSG00000264615		
ENSG00000275291	ENSMUSG00000065372	ortholog_many2many
ENSG00000275291	ENSMUSG00000065708	ortholog_many2many
ENSG00000206721		
ENSG00000242865		
ENSG00000206906	ENSMUSG00000088154	ortholog_one2many
ENSG00000242121		
ENSG00000252916		
ENSG00000238585		
ENSG00000206788		
ENSG00000252449	ENSMUSG00000089074	ortholog_one2one
ENSG00000199290		
ENSG00000252383	ENSMUSG00000084558	ortholog_one2one
ENSG00000239079		
ENSG00000277091		
ENSG00000199814		
ENSG00000200572		
ENSG00000201662		
ENSG00000264025		
ENSG00000239794		
ENSG00000265214		
ENSG00000212133	ENSMUSG00000065320	ortholog_one2many
ENSG00000266245		
ENSG00000199640	ENSMUSG00000093571	ortholog_one2many
ENSG00000199640	ENSMUSG00000088136	ortholog_one2many
ENSG00000212377		
ENSG00000277872		
ENSG00000283498		
ENSG00000252097	ENSMUSG00000070182	ortholog_one2one
ENSG00000202469		
ENSG00000252390		
ENSG00000272166		
ENSG00000207408		
ENSG00000274713		
ENSG00000252132	ENSMUSG00000088981	ortholog_one2many
ENSG00000200895		
ENSG00000275391		
ENSG00000223056	ENSMUSG00000084500	ortholog_one2many
ENSG00000207327		
ENSG00000276941		
ENSG00000200635		
ENSG00000266704		
ENSG00000252073		
ENSG00000265355		
ENSG00000252292		
ENSG00000221114		
ENSG00000273648		
ENSG00000201492		
ENSG00000284160		
ENSG00000275372	ENSMUSG00000098566	ortholog_one2one
ENSG00000239105		
ENSG00000212040		
ENSG00000216192		
ENSG00000278359		
ENSG00000240014		
ENSG00000207874		
ENSG00000200686		
ENSG00000281894		
ENSG00000222585	ENSMUSG00000088950	ortholog_one2one
ENSG00000238490	ENSMUSG00000065721	ortholog_one2many
ENSG00000201715		
ENSG00000263595		
ENSG00000283204		
ENSG00000263752		
ENSG00000266180		
ENSG00000201843		
ENSG00000240961		
ENSG00000281226		
ENSG00000264834		
ENSG00000253057	ENSMUSG00000089169	ortholog_one2many
ENSG00000206915		
ENSG00000276859	ENSMUSG00000099106	ortholog_one2one
ENSG00000239057		
ENSG00000201263		
ENSG00000207268		
ENSG00000280781		
ENSG00000238386		
ENSG00000201026	ENSMUSG00000088230	ortholog_one2one
ENSG00000238923		
ENSG00000278331	ENSMUSG00000088154	ortholog_one2many
ENSG00000252037	ENSMUSG00000065173	ortholog_one2many
ENSG00000274210		
ENSG00000252205	ENSMUSG00000093258	ortholog_one2one
ENSG00000275901		
ENSG00000202000	ENSMUSG00000064738	ortholog_one2one
ENSG00000201388		
ENSG00000201642		
ENSG00000207976		
ENSG00000284587		
ENSG00000283634		
ENSG00000264984		
ENSG00000199038		
ENSG00000251825		
ENSG00000264192		
ENSG00000207728		
ENSG00000239542		
ENSG00000264141		
ENSG00000207098		
ENSG00000206622	ENSMUSG00000077276	ortholog_many2many
ENSG00000206622	ENSMUSG00000065642	ortholog_many2many
ENSG00000263815		
ENSG00000252217		
ENSG00000211578		
ENSG00000207782		
ENSG00000207736		
ENSG00000199295	ENSMUSG00000088570	ortholog_one2one
ENSG00000277478		
ENSG00000238759		
ENSG00000201957		
ENSG00000202331		
ENSG00000202184		
ENSG00000252061	ENSMUSG00000088758	ortholog_one2one
ENSG00000273537	ENSMUSG00000099117	ortholog_one2one
ENSG00000201403	ENSMUSG00000064741	ortholog_one2many
ENSG00000238326		
ENSG00000200914		
ENSG00000239002	ENSMUSG00000089617	ortholog_one2one
ENSG00000201810		
ENSG00000238819	ENSMUSG00000089093	ortholog_one2many
ENSG00000212450		
ENSG00000200427		
ENSG00000273927		
ENSG00000252491		
ENSG00000200832		
ENSG00000199753	ENSMUSG00000065126	ortholog_one2one
ENSG00000200997	ENSMUSG00000088913	ortholog_many2many
ENSG00000200997	ENSMUSG00000065764	ortholog_many2many
ENSG00000206636		
ENSG00000252550		
ENSG00000201023		
ENSG00000265176		
ENSG00000252539		
ENSG00000208032		
ENSG00000265226		
ENSG00000200241		
ENSG00000212389		
ENSG00000283300	ENSMUSG00000087979	ortholog_one2one
ENSG00000277506		
ENSG00000241524		
ENSG00000277553	ENSMUSG00000098538	ortholog_one2one
ENSG00000198982		
ENSG00000277892		
ENSG00000206766		
ENSG00000252766	ENSMUSG00000088566	ortholog_one2one
ENSG00000274711		
ENSG00000208036		
ENSG00000264056		
ENSG00000201423		
ENSG00000206621		
ENSG00000264425		
ENSG00000265422		
ENSG00000264014		
ENSG00000274878		
ENSG00000252604	ENSMUSG00000064982	ortholog_one2many
ENSG00000207199	ENSMUSG00000064536	ortholog_one2many
ENSG00000278108		
ENSG00000273912		
ENSG00000199700	ENSMUSG00000064644	ortholog_one2one
ENSG00000206649	ENSMUSG00000065202	ortholog_one2many
ENSG00000238761		
ENSG00000276982		
ENSG00000207421		
ENSG00000242436		
ENSG00000268991		
ENSG00000222076		
ENSG00000266503		
ENSG00000265105		
ENSG00000252626	ENSMUSG00000064389	ortholog_one2many
ENSG00000202050		
ENSG00000252332	ENSMUSG00000088656	ortholog_one2many
ENSG00000239115		
ENSG00000206835	ENSMUSG00000089516	ortholog_many2many
ENSG00000206835	ENSMUSG00000088243	ortholog_many2many
ENSG00000283438		
ENSG00000253016		
ENSG00000200385	ENSMUSG00000080370	ortholog_many2many
ENSG00000200385	ENSMUSG00000084433	ortholog_many2many
ENSG00000200385	ENSMUSG00000088624	ortholog_many2many
ENSG00000253080		
ENSG00000276669		
ENSG00000212424		
ENSG00000264102		
ENSG00000202263		
ENSG00000207146		
ENSG00000221406		
ENSG00000200670		
ENSG00000207077		
ENSG00000252261	ENSMUSG00000088359	ortholog_many2many
ENSG00000252261	ENSMUSG00000088618	ortholog_many2many
ENSG00000252261	ENSMUSG00000089103	ortholog_many2many
ENSG00000200064		
ENSG00000276162		
ENSG00000283385		
ENSG00000263918		
ENSG00000277052		
ENSG00000223321	ENSMUSG00000084496	ortholog_one2one
ENSG00000221333		
ENSG00000199373		
ENSG00000273516	ENSMUSG00000087743	ortholog_one2many
ENSG00000238616	ENSMUSG00000064391	ortholog_one2many
ENSG00000238616	ENSMUSG00000077668	ortholog_one2many
ENSG00000238616	ENSMUSG00000088286	ortholog_one2many
ENSG00000283276		
ENSG00000222810		
ENSG00000200356		
ENSG00000262354		
ENSG00000221066	ENSMUSG00000080396	ortholog_one2one
ENSG00000253739	ENSMUSG00000088154	ortholog_one2many
ENSG00000200613		
ENSG00000252238	ENSMUSG00000064652	ortholog_one2many
ENSG00000252238	ENSMUSG00000088410	ortholog_one2many
ENSG00000206903	ENSMUSG00000064956	ortholog_one2one
ENSG00000201277	ENSMUSG00000064945	ortholog_one2many
ENSG00000264741		
ENSG00000221369		
ENSG00000012983	ENSMUSG00000034761	ortholog_one2one
ENSG00000151748	ENSMUSG00000021067	ortholog_one2one
ENSG00000237848		
ENSG00000261065		
ENSG00000126456	ENSMUSG00000003184	ortholog_one2one
ENSG00000270179		
ENSG00000149292	ENSMUSG00000040219	ortholog_one2one
ENSG00000141858	ENSMUSG00000079003	ortholog_one2one
ENSG00000251678		
ENSG00000247732		
ENSG00000112941	ENSMUSG00000034575	ortholog_one2one
ENSG00000262099		
ENSG00000271963		
ENSG00000247970		
ENSG00000250842		
ENSG00000213326		
ENSG00000262660	ENSMUSG00000025792	ortholog_one2many
ENSG00000262814	ENSMUSG00000039640	ortholog_one2one
ENSG00000058673	ENSMUSG00000102976	ortholog_one2many
ENSG00000243904		
ENSG00000266364		
ENSG00000229402		
ENSG00000232573		
ENSG00000176605		
ENSG00000231258		
ENSG00000235323		
ENSG00000259110		
ENSG00000263946		
ENSG00000137726	ENSMUSG00000066705	ortholog_one2one
ENSG00000258401		
ENSG00000224025		
ENSG00000258392		
ENSG00000105357	ENSMUSG00000030739	ortholog_one2one
ENSG00000267815		
ENSG00000133055	ENSMUSG00000042451	ortholog_one2one
ENSG00000188766	ENSMUSG00000037239	ortholog_one2one
ENSG00000258845		
ENSG00000229567		
ENSG00000237003		
ENSG00000165684	ENSMUSG00000036281	ortholog_one2one
ENSG00000183475	ENSMUSG00000030509	ortholog_one2one
ENSG00000108559	ENSMUSG00000040667	ortholog_one2one
ENSG00000231407		
ENSG00000233703		
ENSG00000153823	ENSMUSG00000045658	ortholog_one2one
ENSG00000260919		
ENSG00000233990		
ENSG00000237357		
ENSG00000175602	ENSMUSG00000095098	ortholog_one2one
ENSG00000174059	ENSMUSG00000016494	ortholog_one2one
ENSG00000186318	ENSMUSG00000032086	ortholog_one2one
ENSG00000210049		
ENSG00000211459		
ENSG00000210077		
ENSG00000210082		
ENSG00000209082		
ENSG00000198888	ENSMUSG00000064341	ortholog_one2one
ENSG00000210100		
ENSG00000210107		
ENSG00000210112		
ENSG00000198763	ENSMUSG00000064345	ortholog_one2one
ENSG00000210117		
ENSG00000210127		
ENSG00000210135		
ENSG00000210140		
ENSG00000210144		
ENSG00000198804	ENSMUSG00000064351	ortholog_one2one
ENSG00000210151		
ENSG00000210154		
ENSG00000198712	ENSMUSG00000064354	ortholog_one2one
ENSG00000210156		
ENSG00000163431	ENSMUSG00000048096	ortholog_one2one
ENSG00000170549	ENSMUSG00000060969	ortholog_one2one
ENSG00000228253	ENSMUSG00000064356	ortholog_one2one
ENSG00000241978	ENSMUSG00000089945	ortholog_many2many
ENSG00000241978	ENSMUSG00000038729	ortholog_many2many
ENSG00000259603		
ENSG00000198899	ENSMUSG00000064357	ortholog_one2one
ENSG00000235754		
ENSG00000235219		
ENSG00000268870		
ENSG00000198938	ENSMUSG00000064358	ortholog_one2one
ENSG00000129667	ENSMUSG00000020806	ortholog_one2one
ENSG00000210164		
ENSG00000198840	ENSMUSG00000064360	ortholog_one2one
ENSG00000262319		
ENSG00000210174		
ENSG00000212907	ENSMUSG00000065947	ortholog_one2one
ENSG00000156575	ENSMUSG00000027072	ortholog_one2one
ENSG00000117834	ENSMUSG00000028544	ortholog_one2one
ENSG00000198886	ENSMUSG00000064363	ortholog_one2one
ENSG00000233452		
ENSG00000226752		
ENSG00000210176		
ENSG00000170482	ENSMUSG00000024354	ortholog_one2one
ENSG00000210184		
ENSG00000210191		
ENSG00000273010		
ENSG00000198786	ENSMUSG00000064367	ortholog_one2one
ENSG00000228872		
ENSG00000259413		
ENSG00000278054		
ENSG00000275493		
ENSG00000198695	ENSMUSG00000064368	ortholog_one2one
ENSG00000099290	ENSMUSG00000024104	ortholog_one2many
ENSG00000258630		
ENSG00000210194		
ENSG00000224077		
ENSG00000198727	ENSMUSG00000064370	ortholog_one2one
ENSG00000143119	ENSMUSG00000040747	ortholog_one2one
ENSG00000211968	ENSMUSG00000094862	ortholog_many2many
ENSG00000211968	ENSMUSG00000096452	ortholog_many2many
ENSG00000211968	ENSMUSG00000096020	ortholog_many2many
ENSG00000211968	ENSMUSG00000096672	ortholog_many2many
ENSG00000211968	ENSMUSG00000095200	ortholog_many2many
ENSG00000211968	ENSMUSG00000094087	ortholog_many2many
ENSG00000211968	ENSMUSG00000095442	ortholog_many2many
ENSG00000211968	ENSMUSG00000076688	ortholog_many2many
ENSG00000211968	ENSMUSG00000095197	ortholog_many2many
ENSG00000211968	ENSMUSG00000095130	ortholog_many2many
ENSG00000211968	ENSMUSG00000093894	ortholog_many2many
ENSG00000211968	ENSMUSG00000076709	ortholog_many2many
ENSG00000211968	ENSMUSG00000094561	ortholog_many2many
ENSG00000211968	ENSMUSG00000093896	ortholog_many2many
ENSG00000211968	ENSMUSG00000094124	ortholog_many2many
ENSG00000211968	ENSMUSG00000094694	ortholog_many2many
ENSG00000211968	ENSMUSG00000094502	ortholog_many2many
ENSG00000211968	ENSMUSG00000095204	ortholog_many2many
ENSG00000211968	ENSMUSG00000102313	ortholog_many2many
ENSG00000211968	ENSMUSG00000094787	ortholog_many2many
ENSG00000211968	ENSMUSG00000095519	ortholog_many2many
ENSG00000211968	ENSMUSG00000095416	ortholog_many2many
ENSG00000211968	ENSMUSG00000094088	ortholog_many2many
ENSG00000211968	ENSMUSG00000094940	ortholog_many2many
ENSG00000211968	ENSMUSG00000095583	ortholog_many2many
ENSG00000211968	ENSMUSG00000096150	ortholog_many2many
ENSG00000211968	ENSMUSG00000095859	ortholog_many2many
ENSG00000211968	ENSMUSG00000094198	ortholog_many2many
ENSG00000211968	ENSMUSG00000095889	ortholog_many2many
ENSG00000210195		
ENSG00000211966		
ENSG00000210196		
ENSG00000256108		
ENSG00000170409		
ENSG00000260469		
ENSG00000116962	ENSMUSG00000005397	ortholog_one2one
ENSG00000279096		
ENSG00000283562		
ENSG00000260029		
ENSG00000106780	ENSMUSG00000039270	ortholog_one2one
ENSG00000215397	ENSMUSG00000060257	ortholog_one2one
ENSG00000204149	ENSMUSG00000055013	ortholog_one2many
ENSG00000160185	ENSMUSG00000042345	ortholog_one2one
ENSG00000162076	ENSMUSG00000023911	ortholog_one2one
ENSG00000227883		
ENSG00000229833	ENSMUSG00000087687	ortholog_one2one
ENSG00000205209		
ENSG00000205025		
ENSG00000129951	ENSMUSG00000035835	ortholog_one2one
ENSG00000197889	ENSMUSG00000026650	ortholog_one2one
ENSG00000179044	ENSMUSG00000043251	ortholog_one2one
ENSG00000187510		
ENSG00000238041		
ENSG00000225497		
ENSG00000117335	ENSMUSG00000016493	ortholog_one2one
ENSG00000196893		
ENSG00000211952	ENSMUSG00000076674	ortholog_many2many
ENSG00000211952	ENSMUSG00000076672	ortholog_many2many
ENSG00000211952	ENSMUSG00000076676	ortholog_many2many
ENSG00000211952	ENSMUSG00000094029	ortholog_many2many
ENSG00000211952	ENSMUSG00000076670	ortholog_many2many
ENSG00000211952	ENSMUSG00000103939	ortholog_many2many
ENSG00000211952	ENSMUSG00000093838	ortholog_many2many
ENSG00000249305		
ENSG00000253462		
ENSG00000255421		
ENSG00000113318	ENSMUSG00000014850	ortholog_one2one
ENSG00000259013		
ENSG00000116353	ENSMUSG00000028910	ortholog_one2one
ENSG00000140459	ENSMUSG00000032323	ortholog_one2one
ENSG00000183644	ENSMUSG00000032057	ortholog_one2one
ENSG00000137707	ENSMUSG00000032056	ortholog_one2one
ENSG00000178440		
ENSG00000253260		
